Parsing hochiminh.geojson...
Loaded 3056 traffic signal nodes.

Building KD-tree...
KD-tree built in 0.34 ms.

Nearest traffic light to (10.7725, 106.6981):
  ID:        10315805798
  Location:  (10.7715858, 106.6985321)
  Distance:  112.1 m
  Query time: 0.0048 ms

--- All Nodes ---
ID              Latitude      Longitude     
--------------------------------------------
366053189       10.4075534    106.9662343   
366368730       10.8686477    106.7348303   
366370560       10.7981262    106.6886130   
366373362       10.7985975    106.6875699   
366375527       10.8664807    106.5618894   
366377788       10.8263115    106.7614307   
366378905       10.7649373    106.6354344   
366381386       10.8033105    106.6844820   
366382100       10.7918311    106.6716136   
366383451       10.7560384    106.7059964   
366385318       10.7839228    106.6654748   
366388361       10.7517869    106.7050119   
366389762       10.7927261    106.7074335   
366399418       10.8154500    106.6246199   
366401354       10.7775860    106.6286003   
366401710       10.7560579    106.6326357   
366403574       10.8043261    106.7158856   
366412132       10.8157529    106.6030051   
366413279       10.8038885    106.6869496   
366413355       10.7822562    106.6645756   
366414466       10.7929933    106.6800466   
366421835       10.7447349    106.6287020   
366423565       10.8026325    106.6986377   
366427747       10.9346144    106.5501138   
366432007       10.8425938    106.6571611   
366435377       10.7979790    106.6715846   
366440592       10.8682691    106.5578575   
366442476       11.0619872    106.4802331   
366443146       10.8573262    106.7638468   
366446289       10.7074098    106.6233469   
366446893       10.7995357    106.6749459   
366447019       10.7509784    106.6613221   
366455361       10.8758910    106.6416737   
366458128       10.8262248    106.6343135   
366458462       10.8040213    106.6982434   
366458878       10.7942967    106.6778607   
366460715       10.7764378    106.6635869   
366464770       10.7808899    106.6694309   
366467134       10.8200566    106.7039859   
366471592       10.7707930    106.6429883   
366473119       10.8018110    106.6829772   
366474273       10.8008009    106.6576056   
373543990       10.7745049    106.6365703   
373544045       10.7743470    106.6369241   
383516681       10.7380596    106.7220304   
383516716       10.7378012    106.6344238   
411918115       10.7883390    106.6851455   
411918181       10.7716121    106.6929900   
411918773       10.7803507    106.6988748   
411918820       10.7830804    106.6823910   
411918857       10.7790997    106.6974154   
411919005       10.7926730    106.6958498   
411919033       10.7736186    106.6944794   
